id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.1006620277630484e+18,The Eleanor: Unit 704,544722946,My NOLA Vacation Rentals,,Central Business District,29.95498621,-90.07398384,Entire home/apt,393.0,1,0,,,41,300,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1006794762122986e+18,The Eleanor: Unit 604,544722946,My NOLA Vacation Rentals,,Central Business District,29.95271297,-90.07382275,Entire home/apt,393.0,1,0,,,41,314,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1006968613567752e+18,Large CBD Condos | Near French Quarter,312046089,Sonny,,Central Business District,29.94918,-90.06749,Entire home/apt,1868.0,2,0,,,14,284,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1007002059979464e+18,The Eleanor: Unit 605,544722946,My NOLA Vacation Rentals,,Central Business District,29.9537991,-90.074732,Entire home/apt,379.0,1,0,,,41,308,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1007088236028774e+18,The Eleanor: Unit 705,544722946,My NOLA Vacation Rentals,,Central Business District,29.95442,-90.07576,Entire home/apt,464.0,1,0,,,41,294,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1007161534085164e+18,Penthouse Apt | Private Patio | Walk to FQ,544722946,My NOLA Vacation Rentals,,Central Business District,29.9537991,-90.074732,Entire home/apt,479.0,1,0,,,41,364,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1007166568381572e+18,Great for large groups - two connecting units!,544722946,My NOLA Vacation Rentals,,Central Business District,29.9537991,-90.074732,Entire home/apt,814.0,1,0,,,41,308,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1007304989017652e+18,Great for large groups - two connecting units,544722946,My NOLA Vacation Rentals,,Central Business District,29.95445,-90.07584,Entire home/apt,807.0,1,0,,,41,285,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1007652284056724e+18,Henry's Place,500852427,Henry,,Dillard,30.00348882,-90.06231092,Private room,47.0,7,0,,,2,88,0,"20RSTR-67432, 20OSTR-87498"
1.100824587512156e+18,Dwtn Penthouse Unit | Outdoor Terrace | Walk to FQ,544722946,My NOLA Vacation Rentals,,Central Business District,29.9529,-90.07425,Entire home/apt,596.0,1,0,,,41,314,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1010574841406312e+18,Bywater Gem on Royal Street,564383338,Troy,,Bywater,29.96115246,-90.03677565,Entire home/apt,120.0,30,0,,,1,365,0,
1.1011373700309788e+18,House of the Rising Sun,436545081,Shana,,Treme - Lafitte,29.96906,-90.07625,Entire home/apt,88.0,30,0,,,1,109,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1012357516772696e+18,City Lights and Comfort: Modern 1BR in NOLA,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,180.0,1,0,,,60,348,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1012712509699116e+18,Stylish 1BR Condo Near the French Quarter,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,144.0,1,0,,,60,3,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
